"ToxField","RocAUC","BA"
"NR-AR","0.7643748901002254","0.5909090909090909"
"NR-AhR","0.8917324038402763","0.6799669785360485"
"NR-AR-LBD","0.7558717877866818","0.4990328820116054"
"NR-ER","0.7486044657097274","0.5416666666666666"
"NR-ER-LBD","0.7307186234817811","0.5770242914979757"
"NR-Aromatase","0.7837745399822154","0.5"
"NR-PPAR-gamma","0.676339285714286","0.5"
"SR-ARE","0.7589242053789722","0.5512584495901051"
"SR-ATAD5","0.6988393058372754","0.5431597926526932"
"SR-HSE","0.8103693181818168","0.4981060606060606"
"SR-MMP","0.9406976744186061","0.6795169946332738"
"SR-p53","0.8150361311839911","0.5133129516397998"
