"NAME [String]","METHOD [String]","featuresColumn [String]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_lipinski","WEKA_NB_BN","rdkit_fp","0.5326919527500923","0.5208333333333333","0.5772425249169436","0.5"
"data_lipinski","WEKA_NB_BN","cdk_fp","0.5334302325581395","0.5208333333333333","0.5794573643410853","0.5"
"data_herg","WEKA_NB_BN","rdkit_fp","0.8529730038732266","0.795717785944983","0.8881454221032675","0.8750558035714294"
"data_herg","WEKA_NB_BN","cdk_fp","0.8513213013463972","0.7924323421316404","0.8824579011932641","0.8790736607142873"
"data_chagas","WEKA_NB_BN","rdkit_fp","0.8052111030618269","0.8054871618396369","0.8104672484711689","0.7996788988746747"
"data_chagas","WEKA_NB_BN","cdk_fp","0.7958053049917905","0.7977354217776942","0.800495732018055","0.7891847611796221"
"data_solubility","WEKA_NB_BN","rdkit_fp","0.8408012537450066","0.8536292428198432","0.8680874267278593","0.800687091687317"
"data_solubility","WEKA_NB_BN","cdk_fp","0.8472364349371552","0.8713838120104437","0.8823101740355341","0.7880153187654876"
"data_tuberculosis","WEKA_NB_BN","rdkit_fp","0.697580449175749","0.6904966631816596","0.6958754909494566","0.7063691933961314"
"data_tuberculosis","WEKA_NB_BN","cdk_fp","0.7027078212951455","0.6988693793311602","0.7055231813524621","0.7037309032018144"
"data_malaria","WEKA_NB_BN","rdkit_fp","0.9603596579508938","0.9703405341025949","0.977476716882572","0.9332617228675147"
"data_malaria","WEKA_NB_BN","cdk_fp","0.9547065783862071","0.9668685395222689","0.9729190301559246","0.9243321654804278"
"data_bubonic","WEKA_NB_BN","rdkit_fp","0.5025745081107247","0.49998926139902494","0.5077449999199211","0.499989263013228"
"data_bubonic","WEKA_NB_BN","cdk_fp","0.4994883248735884","0.4999677841970748","0.498679719198815","0.49981747122487546"
"data_kcnq","WEKA_NB_BN","rdkit_fp","0.5494831739183383","0.5489049423706179","0.5496468529578941","0.549897726426503"
"data_kcnq","WEKA_NB_BN","cdk_fp","0.5633072902957047","0.5609652706875623","0.5639396999716624","0.5650169002278895"
