name,rmse_global,rmse_common,delta
ADMECaco2,0.6005994866312553,0.6552131996182976,0.05461371298704232
Caco2,0.5497595436070128,0.5958712367617874,0.04611169315477459
Chagas,0.5056305914906831,0.5260369519806298,0.020406360489946707
LogP,0.5034146115193077,0.5550001322588581,0.05158552073955047
MalariaGSK,0.2942202611141861,0.31371429779931914,0.019494036685133054
MalariaNovartis,0.5314965325568689,0.5582100494324446,0.02671351687557566
MouseRatTox,1.1777648322312195,1.2002862409181951,0.022521408686975608
TB_MDR,0.5878305694122922,0.6194175234839013,0.03158695407160916
TB_SRI,0.6287100335839191,0.6839014732156851,0.05519143963176598
Xanthine-Bostaurus,0.6605964577294556,0.7190114215276361,0.05841496379818045
