"NAME [String]","METHOD [String]","C [Double]","scalerType [String]","f1 [Double]","f1_1 [Double]","f1_2 [Double]","f1_3 [Double]"
"BothRegression","SMILE_LINEAR_SVM","1.0E-4","MaxMin","0.12935323383084577","0.0","0.3880597014925373","0.0"
"BothRegression","SMILE_LINEAR_SVM","0.001","MaxMin","0.25870646766169153","0.3880597014925373","0.3880597014925373","0.0"
"BothRegression","SMILE_LINEAR_SVM","0.01","MaxMin","0.22727272727272727","0.6818181818181818","0.0","0.0"
"BothRegression","SMILE_LINEAR_SVM","0.1","MaxMin","0.0","0.0","0.0","0.0"
"BothRegression","SMILE_LINEAR_SVM","1.0","MaxMin","0.8054421768707484","0.8","0.7999999999999999","0.8163265306122449"
"BothRegression","SMILE_LINEAR_SVM","10.0","MaxMin","0.8302172670097199","0.7500000000000001","0.8727272727272727","0.8679245283018868"
"BothRegression","SMILE_LINEAR_SVM","100.0","MaxMin","0.8147245564892623","0.76","0.8627450980392156","0.8214285714285715"
"BothRegression","SMILE_LINEAR_SVM","1.0E-4","Standard","0.0","0.0","0.0","0.0"
"BothRegression","SMILE_LINEAR_SVM","0.001","Standard","0.12935323383084577","0.0","0.3880597014925373","0.0"
"BothRegression","SMILE_LINEAR_SVM","0.01","Standard","0.4575327206906154","0.7936507936507937","0.0","0.5789473684210525"
"BothRegression","SMILE_LINEAR_SVM","0.1","Standard","0.84247582205029","0.8363636363636363","0.8400000000000001","0.851063829787234"
"BothRegression","SMILE_LINEAR_SVM","1.0","Standard","0.784423949641341","0.7777777777777779","0.7391304347826088","0.8363636363636364"
"BothRegression","SMILE_LINEAR_SVM","10.0","Standard","0.853384912959381","0.8363636363636363","0.8510638297872339","0.8727272727272727"
"BothRegression","SMILE_LINEAR_SVM","100.0","Standard","0.8417508417508418","0.8","0.888888888888889","0.8363636363636364"
